(92.5,101.1)
(88.8,107.4)
(110.9,93.4)
(134,129)
(113.1,119.6)
(99.8,133.3)
(98.2,103.8)
(106.9,94.9)
(106,89.2)
(78.1,93.5)
(121,106)
(102,112.3)
(95.9,98.8)
(9.5,150.5)
(118.1,89.8)
(94.9,91.1)
(98.2,99.2)
(108.8,107.4)
(100,81.7)
(102.4,82)
(77.3,93.6)
(102.6,83.4)
(106.6,93.3)
(92.2,73.9)
(112.3,103.6)
(99.2,117.4)
(104.8,81.8)
(87.7,89.1)
(118.4,119.6)
(94.7,94.3)
(127,27.5)
(93.4,97.7)
(12.5,167)
(91.8,99.2)
(90.4,90.4)
(114.6,100.8)
(100.8,78.1)
(119,87.8)
(96.6,105)
(85.8,107.9)
(105.4,72.3)
(88.7,123.3)
(111.8,127.5)
(82.7,97.8)
(85.1,98.9)
(117.3,102.1)
(102.2,106)
(91.7,60.3)
(80.3,95.6)
(106.3,126.2)
(115.4,102.9)
(112.3,99.9)
(99.3,91.6)
(102,101.4)
(91.9,115.4)
(118.5,75.5)
(126.5,109.4)
(108.3,93.3)
(97.8,91.1)
(98.1,86.5)
(96.4,96.3)
(93.7,100.3)
(86.7,86.4)
(101.2,75.4)
(96.4,106.5)
(105.2,101.3)
(112.6,100.2)
(129.7,68)
(97,155.4)
(88,119.3)
(104.7,88.2)
(77.7,120.2)
(120.2,88)
(91.2,66.1)
(103.7,88)
(65,112)
(101.4,93.7)
(108.7,100.7)
(111.7,99.8)
(112.4,108.4)
(103.8,79.2)
(96.5,88.8)
(89.9,93.1)
(97.3,128.8)
(93,101.7)
(88.7,113.7)
(112.4,66.4)
(99.8,111.8)
(97.2,97.4)
(112.6,110.8)
(104,95.7)
(91.4,89.6)
(109.5,101.1)
(81.5,106.6)
(89.3,93.6)
(91.7,120.5)
(99.5,94.1)
(97.6,101.2)
(90.3,116.3)
(84.6,116.3)
(105.6,107.1)
(85,90)
(95.6,96.8)
(36.7,142.7)
(107.1,98.6)
(90.1,95.3)
(134.6,75.5)
(113.3,89.9)
(107.8,85.2)
(137,50)
(99,114.8)
(106.5,88.8)
(102.7,98.4)
(103.3,87.5)
(87.8,104.9)
(87.9,97.5)
(101.3,148.8)
(83.3,122.9)
(95.6,87.9)
(91.6,98)
(99.2,124.4)
(87.8,88.4)
(91.8,96.9)
(97.1,103.5)
(110.5,113.5)
(96.5,117.6)
(105,99.3)
(95.5,94.9)
(88.8,86)
(95.5,108.8)
(116.2,106.9)
(101.3,95.1)
(72.8,102.2)
(116.5,76.6)
(97.5,91.3)
(98.8,116)
(142,157.5)
(77.7,89.3)
(93.1,73.6)
(114.3,92)
(121.5,105.1)
(100.7,107.7)
(98.6,97.8)
(118.8,86)
(125.5,105.5)
(106,99.2)
(70.6,71.6)
(105.3,97.9)
(69.7,82.1)
(82.4,111.3)
(105.8,95.8)
